Country,Region,Happiness.Rank,Happiness.Score,Economy,Family,Health,Freedom,Government.Corruption,Generosity,Dystopia.Residual
Hungary,Central and Eastern Europe,91,5.14,1.24,0.93,0.68,0.2,0.04,0.1,1.95
Pakistan,Southern Asia,92,5.13,0.69,0.26,0.4,0.15,0.14,0.31,3.18
Lebanon,Middle East and Northern Africa,93,5.13,1.12,0.64,0.76,0.26,0.03,0.24,2.07
Portugal,Western Europe,94,5.12,1.28,0.94,0.79,0.45,0.02,0.12,1.53
Macedonia,Central and Eastern Europe,95,5.12,1.02,0.78,0.65,0.28,0.07,0.24,2.09
Vietnam,Southeastern Asia,96,5.06,0.74,0.79,0.66,0.56,0.12,0.25,1.94
Somaliland Region,Sub-Saharan Africa,97,5.06,0.26,0.76,0.33,0.39,0.37,0.51,2.44
Tunisia,Middle East and Northern Africa,98,5.04,0.98,0.43,0.6,0.24,0.08,0.04,2.68
Greece,Western Europe,99,5.03,1.25,0.75,0.8,0.06,0.04,0,2.13
Tajikistan,Central and Eastern Europe,100,5,0.49,0.76,0.53,0.43,0.14,0.26,2.39
Mongolia,Eastern Asia,101,4.91,0.99,1.09,0.55,0.36,0.03,0.35,1.54
Laos,Southeastern Asia,102,4.88,0.68,0.55,0.38,0.52,0.22,0.43,2.09
Nigeria,Sub-Saharan Africa,103,4.88,0.75,0.64,0.05,0.28,0.03,0.23,2.89
Honduras,Latin America and Caribbean,104,4.87,0.69,0.76,0.58,0.27,0.07,0.2,2.3
Iran,Middle East and Northern Africa,105,4.81,1.12,0.39,0.64,0.23,0.06,0.39,2
Zambia,Sub-Saharan Africa,106,4.8,0.61,0.64,0.24,0.43,0.11,0.18,2.59
Nepal,Southern Asia,107,4.79,0.45,0.7,0.5,0.37,0.07,0.38,2.33
Palestinian Territories,Middle East and Northern Africa,108,4.75,0.67,0.72,0.57,0.18,0.11,0.11,2.4
Albania,Central and Eastern Europe,109,4.66,0.96,0.5,0.73,0.32,0.05,0.17,1.93
Bangladesh,Southern Asia,110,4.64,0.54,0.25,0.53,0.4,0.13,0.19,2.61
Sierra Leone,Sub-Saharan Africa,111,4.63,0.36,0.63,0,0.31,0.08,0.24,3.01
Iraq,Middle East and Northern Africa,112,4.58,1.07,0.59,0.51,0.25,0.14,0.2,1.82
Namibia,Sub-Saharan Africa,113,4.57,0.93,0.7,0.35,0.49,0.1,0.08,1.92
Cameroon,Sub-Saharan Africa,114,4.51,0.52,0.63,0.13,0.43,0.06,0.23,2.52
Ethiopia,Sub-Saharan Africa,115,4.51,0.29,0.38,0.35,0.37,0.17,0.3,2.66
South Africa,Sub-Saharan Africa,116,4.46,1.02,0.96,0.19,0.42,0.08,0.14,1.64
Sri Lanka,Southern Asia,117,4.42,0.97,0.85,0.62,0.51,0.08,0.47,0.92
India,Southern Asia,118,4.4,0.74,0.29,0.45,0.4,0.09,0.25,2.18
Myanmar,Southeastern Asia,119,4.39,0.34,0.7,0.4,0.43,0.2,0.82,1.51
Egypt,Middle East and Northern Africa,120,4.36,0.95,0.5,0.52,0.19,0.1,0.13,1.97
Armenia,Central and Eastern Europe,121,4.36,0.86,0.62,0.64,0.14,0.04,0.08,1.98
Kenya,Sub-Saharan Africa,122,4.36,0.52,0.76,0.3,0.41,0.07,0.41,1.88
Ukraine,Central and Eastern Europe,123,4.32,0.87,1.01,0.59,0.13,0.02,0.2,1.5
Ghana,Sub-Saharan Africa,124,4.28,0.63,0.49,0.3,0.41,0.03,0.21,2.2
Congo (Kinshasa),Sub-Saharan Africa,125,4.27,0.06,0.81,0.19,0.16,0.06,0.25,2.75
Georgia,Central and Eastern Europe,126,4.25,0.84,0.19,0.64,0.32,0.32,0.07,1.87
Congo (Brazzaville),Sub-Saharan Africa,127,4.24,0.77,0.48,0.28,0.38,0.1,0.12,2.11
Senegal,Sub-Saharan Africa,128,4.22,0.44,0.77,0.4,0.31,0.12,0.19,1.98
Bulgaria,Central and Eastern Europe,129,4.22,1.11,0.93,0.68,0.21,0.01,0.13,1.15
Mauritania,Sub-Saharan Africa,130,4.2,0.61,0.84,0.29,0.13,0.18,0.23,1.93
Zimbabwe,Sub-Saharan Africa,131,4.19,0.35,0.71,0.16,0.25,0.09,0.19,2.44
Malawi,Sub-Saharan Africa,132,4.16,0.09,0.15,0.29,0.41,0.08,0.31,2.83
Sudan,Sub-Saharan Africa,133,4.14,0.63,0.82,0.3,0,0.1,0.18,2.11
Gabon,Sub-Saharan Africa,134,4.12,1.16,0.72,0.35,0.28,0.09,0.06,1.45
Mali,Sub-Saharan Africa,135,4.07,0.31,0.86,0.16,0.28,0.14,0.21,2.11
Haiti,Latin America and Caribbean,136,4.03,0.34,0.3,0.27,0.12,0.14,0.48,2.37
Botswana,Sub-Saharan Africa,137,3.97,1.09,0.89,0.35,0.44,0.11,0.12,0.97
Comoros,Sub-Saharan Africa,138,3.96,0.28,0.6,0.3,0.15,0.18,0.18,2.26
Ivory Coast,Sub-Saharan Africa,139,3.92,0.56,0.58,0.04,0.41,0.16,0.2,1.97
Cambodia,Southeastern Asia,140,3.91,0.56,0.54,0.42,0.59,0.08,0.4,1.32
Angola,Sub-Saharan Africa,141,3.87,0.85,0.66,0.05,0.01,0.08,0.12,2.09
Niger,Sub-Saharan Africa,142,3.86,0.13,0.61,0.26,0.38,0.17,0.21,2.09
South Sudan,Sub-Saharan Africa,143,3.83,0.39,0.19,0.16,0.2,0.13,0.26,2.51
Chad,Sub-Saharan Africa,144,3.76,0.42,0.63,0.04,0.13,0.05,0.19,2.31
Burkina Faso,Sub-Saharan Africa,145,3.74,0.32,0.63,0.21,0.33,0.13,0.24,1.87
Uganda,Sub-Saharan Africa,145,3.74,0.35,0.91,0.2,0.44,0.06,0.27,1.51
Yemen,Middle East and Northern Africa,147,3.72,0.58,0.47,0.31,0.23,0.06,0.1,1.97
Madagascar,Sub-Saharan Africa,148,3.69,0.28,0.46,0.37,0.14,0.08,0.22,2.15
Tanzania,Sub-Saharan Africa,149,3.67,0.47,0.78,0.36,0.32,0.05,0.31,1.38
Liberia,Sub-Saharan Africa,150,3.62,0.11,0.5,0.23,0.26,0.05,0.24,2.23
Guinea,Sub-Saharan Africa,151,3.61,0.22,0.31,0.19,0.31,0.12,0.3,2.16
Rwanda,Sub-Saharan Africa,152,3.52,0.33,0.62,0.32,0.54,0.51,0.24,0.97
Benin,Sub-Saharan Africa,153,3.48,0.39,0.1,0.21,0.4,0.07,0.2,2.11
Afghanistan,Southern Asia,154,3.36,0.38,0.11,0.17,0.16,0.07,0.31,2.15
Togo,Sub-Saharan Africa,155,3.3,0.28,0,0.25,0.35,0.12,0.18,2.14
Syria,Middle East and Northern Africa,156,3.07,0.75,0.15,0.63,0.07,0.17,0.48,0.82
Burundi,Sub-Saharan Africa,157,2.9,0.07,0.23,0.16,0.04,0.09,0.2,2.1
